manufacturer,ship_name,canonical_id,source_entity_class,rsi_image_url,coverage_status,match_method,notes
Aegis,Avenger Titan,avenger-titan-imported,AEGS_Avenger_Titan,"https://robertsspaceindustries.com/i/1f89e0b864e04b347a0a60026b5aa0ab4c558c5e/resize(910,512,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResivggYNE4eG6QvxjvFyCFYpGdCAjcE8FWN)/source.webp",REGISTRY,EXACT_NAME,
Aegis,Eclipse,eclipse-imported,AEGS_Eclipse,"https://robertsspaceindustries.com/i/26b4339b2c3abfe986b38bcdb6f3394573891b8e/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj1s8gewpqUNmaY5rDCxpDUA1NhMoiVrHt)/source.webp",REGISTRY,EXACT_NAME,
Aegis,Gladius,gladius-imported,AEGS_Gladius,"https://robertsspaceindustries.com/i/60415cc9954828896ce4495b34885d7e3a6951d9/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResieuRXVexPTjwdpMHEWo3saH7q2zcqCJWS)/source.webp",REGISTRY,EXACT_NAME,
Aegis Dynamics,Aegis Avenger Stalker,AEGS_Avenger_Stalker,AEGS_Avenger_Stalker,"https://robertsspaceindustries.com/i/8ab3b1c7958533adba5898cbe2c26ec32a29d3d5/resize(910,512,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseTiozZrGUkBP1KS3PKvYPfJfezfDBTyiE)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Avenger Titan Renegade,AEGS_Avenger_Titan_Renegade,AEGS_Avenger_Titan_Renegade,"https://robertsspaceindustries.com/i/25d4100099aa5f87bb7b36e06056bc4861ab28b8/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjvbX7PuKjrhqxjGg8vwDFs77Wp7ieLKNv)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Avenger Warlock,AEGS_Avenger_Warlock,AEGS_Avenger_Warlock,"https://robertsspaceindustries.com/i/b93bc9789afd0d3c79061582aeeb15fe84f6851e/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjdrHki5t8uUHTq8X74sN2QBB2BhVkJE8e)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Gladius Dunlevy,AEGS_Gladius_Dunlevy,AEGS_Gladius_Dunlevy,,FALLBACK,UNMATCHED,
Aegis Dynamics,Aegis Gladius Pirate,AEGS_Gladius_PIR,AEGS_Gladius_PIR,"https://robertsspaceindustries.com/i/b7e20a5d03590510387a8c49d09c7846c0265866/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResf15Krw6hXmbxWongmJxbMoKnJGMHJtPtz)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Gladius Valiant,AEGS_Gladius_Valiant,AEGS_Gladius_Valiant,"https://robertsspaceindustries.com/i/536842fae187ad4bf028eb9f912db297e41c917a/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjHxYqZhkCGAu3JFrXyZrgxc2yximhqvWa)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Hammerhead,AEGS_Hammerhead,AEGS_Hammerhead,"https://robertsspaceindustries.com/i/2d1133694e11b92d0b4d3bc89887c2ce3c5dc403/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskw8pF3smytMEoihUHnd7hNxebuVtB4znz)/source.webp",REGISTRY,NORMALIZED_NAME,
